title,price,rating,review_count,brand
"Safari Astra Neo 8 Wheels 56cm Cabin Size Trolley Bag, Hard Case Polycarbonate, 360 Degree Wheeling Carry-on Luggage for Men & Women, Travel Bag, Suitcase for Travel, Trolley Bag for Travel, Champagne","2,099.",4.0 out of 5 stars,"(1,540)",Safari
,,,,Safari
,,,,Safari
,,,,Safari
,,,,Safari
,,,,Safari
,,,,American Tourister
,,,,American Tourister
American Tourister Liftoff+ | Small Size Cabin Trolley Bag (55 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Dark Olive,"3,099.",4.1 out of 5 stars,"(2,253)",American Tourister
,,,,American Tourister
American Tourister Icor | Large Size Check-in Trolley Bag (82 cm) | 360° 4 Wheel Travel Luggage | Soft Case Polyester Expandable Suitcase | Mounted Combination Lock | Teal,"4,799.",4.3 out of 5 stars,(855),American Tourister
,,,,American Tourister
"VIP Voyager Pro Ultra Strong Polypropylene Hard Sided Check-in Luggage Spinner Dual Wheels with Ergonomic Grip Handle (Large, 79cm, Blue)","3,199",3.7 out of 5 stars,(39),VIP
"VIP Polypropylene (Pp) Quad Active Check-in 75 Cm 8 Spinner Wheels Hardshell Trolley Bag for Travel, Hard Case Lightweight Bag with Combination Lock, Tough Suitcase for Travel (Blue) (Large)","3,270.",4.2 out of 5 stars,(428),VIP
VIP Unicorn Nxt 8W Str 80 Cm | Check-in Polyester Soft Sided 8 Wheels Spinner Trolleys (Large) (RED),"3,199.",3.7 out of 5 stars,(19),VIP
"VIP Corsa Check-in 66 Cm (Medium) 8 Wheels Trolley Bags for Travel, Hard Case Lightweight Bag with Combination Lock, Tough Suitcase for Travel (Black)","2,299.",4.2 out of 5 stars,(166),VIP
,,,,VIP
,,,,VIP
"Aristocrat Liberty Cabin (Carry-On) Trolley Bag, 58Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue","1,399.",4.2 out of 5 stars,"(1,287)",Aristocrat
,,,,Aristocrat
,,,,Aristocrat
,,,,Aristocrat
,,,,Aristocrat
,,,,Aristocrat
